segment_id,ner_condition,system_id,issue_category,severity,source_span_fr,hypothesis_span_en,ref_span_en,wrong_terminology,concept_flattening_too_vague,missing_terms,unnatural_phrasing,notes,reviewer,resolved
48_057,ner_biollm,s5,terminology_wrong,minor,Néphrite à médiation immunitaire,"Immune-mediated nephritis occurred in 37 (0.5 %) patients receiving pembrolizumab monotherapy, including Grade 2, 3, and 4 cases in 11 (0.1 %), 19 (0.2 %), and 2 (< 0.1 %) patients, respectively.",The median duration was 1.3 months (range: 1 day to 29.0+ months).,1,0,0,0,"The hypothesis uses 'Immune-mediated nephritis' instead of 'Néphrite à médiation immunitaire', which is a more specific term. This is an example of substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_064,ner_biollm,s5,terminology_wrong,minor,Une insuffisance surrénaliène,A case of Addison,"Nephritis resolved in 25 patients, 5 with sequelae.",1,0,0,0,"The hypothesis uses a different concept (Addison vs. Nephritis) and a broader term (insuffisance surrénaliène) than the reference. The term is not entirely wrong, but the concept is not specific enough.",auto:ollama:llama3.2,0
48_109,ner_biollm,s2,terminology_wrong,minor,augmentation des triglycérides,increase in triglycerides,increase in triglycerides,1,0,0,0,"The hypothesis uses the same English term as the reference, but the French source uses 'augmentation des triglycérides', which is not present in the hypothesis. This suggests wrong terminology (item 1).",auto:ollama:llama3.2,0
48_117,ner_biollm_finetuned,s2,terminology_wrong,minor,La sécurité de pembrolizumab en monothérapie a été évaluée à la dose de 2 mg/kg de poids corporel toutes les 3 semaines,The safety of pembrolizumab monotherapy was evaluated in the Phase I/II KEYNOTE-051 study at a dose of 2 mg/kg body weight every 3 weeks,"In patients treated with pembrolizumab in combination with axitinib or lenvatinib, the proportion of patients who experienced a shift from baseline to a Grade 3 or 4 laboratory abnormality was as follows:",1,0,0,0,"The hypothesis uses 'monothérapie' instead of 'monotherapy', which is a different concept. The reference uses 'combination with axitinib or lenvatinib', which is a more specific and nuanced term.",auto:ollama:llama3.2,0
48_090,ner_biollm,s1,terminology_wrong,minor,"De rares cas de SSJ et de NET, dont certains d’issue fatale, ont été observés","Rare cases of SSJ and NET, including some fatal outbreaks, have been observed","In patients with resectable locally advanced HNSCC treated with pembrolizumab as neoadjuvant treatment and in combination with radiation therapy with or without concomitant cisplatin for adjuvant treatment (n=361), the incidence of hypothyroidism was 24.7%, all of which were Grade 1 or 2.",1,0,0,0,"The hypothesis uses a different concept (SSJ vs HNSCC) and wording than the reference. The term 'NET' is not present in the hypothesis, but 'SSJ' is used instead, which is a different branch of the terminology. (1) wrong_terminology",auto:ollama:llama3.2,0
48_028,ner_biollm_finetuned,s1,other,minor,"dyspnoea, cough","dyspnoea, cough dyspnoea, cough","dyspnoea, cough",1,0,0,0,The hypothesis contains redundant terms. The wrong terminology flag was applied.,auto:ollama:llama3.2,0
48_059,ner_biollm,s5,terminology_wrong,minor,néphrite,nephritis,Hepatitis,1,0,0,0,"The French term 'néphrite' translates to 'nephritis' in English, but the hypothesis uses 'nephritis' without the context of 'Hepatitis', which is mentioned in the reference.",auto:ollama:llama3.2,0
48_032,ner_biollm,s5,terminology_wrong,minor,anémie hémolytique (anémie hémolytique auto-immune et anémie hémolytique à Coombs négatif),haemolytic anaemia,haemolytic anaemia (autoimmune haemolytic anaemia and Coombs negative haemolytic anaemia),1,0,0,0,The hypothesis uses a broader term 'haemolytic anaemia' instead of the more specific 'autoimmune haemolytic anaemia and Coombs negative haemolytic anaemia'. This is a substitution of a different medico-regulatory concept.,auto:ollama:llama3.2,0
48_092,ner_biollm_finetuned,s5,terminology_wrong,minor,"Deux patients ont présenté une MVO hépatique, dont une d’issue fatale.","Two patients had hepatic MVO, including a fatal outcome.","In patients with melanoma, NSCLC and RCC treated with pembrolizumab monotherapy in the adjuvant setting (n=2 060), the incidence of hypothyroidism was 18.5%, the majority of which were Grade 1 or 2.",1,0,0,0,The hypothesis uses a different medical concept (MVO vs hypothyroidism) and terminology (hépatique vs hypothyroidism) than the reference. The issue is justified by item 1 (wrong terminology).,auto:ollama:llama3.2,0
48_093,ner_biollm_finetuned,s5,terminology_wrong,minor,Un patient a présenté un syndrome de prise de greffe après transplantation.,One patient developed transplant syndrome after transplantation.,Immune-mediated skin adverse reactions,1,0,0,0,The hypothesis uses a different concept (transplant syndrome vs immune-mediated skin adverse reactions) and a less specific term (transplant syndrome vs Grade 2-5 cases).,auto:ollama:llama3.2,0
