fr_term,system,n_segments,modal_agreement_rate
__MEAN__,s4,41,0.978997
effets indésirables,s5,23,1.0
Pembrolizumab,s5,4,1.0
arrêt de pembrolizumab,s5,5,1.0
KEYTRUDA,s5,3,1.0
chimiothérapie,s5,9,1.0
pembrolizumab,s5,49,1.0
études cliniques,s5,7,1.0
monothérapie,s5,3,1.0
RT,s5,5,1.0
RCT,s5,4,1.0
traitement,s5,13,1.0
constipation,s5,3,1.0
vomissements,s5,3,1.0
axitinib,s5,8,1.0
lenvatinib,s5,7,1.0
sécurité,s5,5,1.0
CCR,s5,4,1.0
hypothyroïdie,s5,12,0.916667
étude,s5,3,1.0
hypophysite,s5,5,0.6
pneumopathie inflammatoire,s5,8,1.0
colite,s5,6,0.833333
enfortumab vedotin,s5,3,1.0
arrêt,s5,5,1.0
séquelles,s5,5,1.0
Grade 2,s5,7,1.0
Grade 3,s5,10,1.0
Grade 4,s5,8,1.0
traités,s5,13,1.0
hépatite,s5,3,1.0
néphrite,s5,5,1.0
insuffisance surrénalienne,s5,4,0.75
hyperthyroïdie,s5,5,1.0
issue fatale,s5,4,1.0
GVH aiguë,s5,3,1.0
GVH chronique,s5,3,1.0
MVO hépatique,s5,3,1.0
ALAT,s5,7,1.0
ASAT,s5,3,0.666667
anticorps,s5,4,1.0
neutralisants,s5,3,1.0
__MEAN__,s5,41,0.969919
effets indésirables,s5_mistral,23,1.0
Pembrolizumab,s5_mistral,4,1.0
arrêt de pembrolizumab,s5_mistral,5,1.0
KEYTRUDA,s5_mistral,3,1.0
chimiothérapie,s5_mistral,9,0.888889
pembrolizumab,s5_mistral,49,1.0
études cliniques,s5_mistral,7,1.0
monothérapie,s5_mistral,3,1.0
RT,s5_mistral,5,1.0
RCT,s5_mistral,4,1.0
traitement,s5_mistral,13,1.0
constipation,s5_mistral,3,1.0
vomissements,s5_mistral,3,1.0
axitinib,s5_mistral,8,1.0
lenvatinib,s5_mistral,7,1.0
sécurité,s5_mistral,5,1.0
CCR,s5_mistral,4,1.0
hypothyroïdie,s5_mistral,12,1.0
étude,s5_mistral,3,1.0
hypophysite,s5_mistral,5,1.0
pneumopathie inflammatoire,s5_mistral,8,0.875
colite,s5_mistral,6,0.833333
enfortumab vedotin,s5_mistral,3,1.0
arrêt,s5_mistral,5,1.0
séquelles,s5_mistral,5,1.0
Grade 2,s5_mistral,7,1.0
Grade 3,s5_mistral,10,1.0
Grade 4,s5_mistral,8,1.0
traités,s5_mistral,13,1.0
hépatite,s5_mistral,3,1.0
néphrite,s5_mistral,5,1.0
insuffisance surrénalienne,s5_mistral,4,1.0
hyperthyroïdie,s5_mistral,5,1.0
issue fatale,s5_mistral,4,1.0
GVH aiguë,s5_mistral,3,1.0
GVH chronique,s5_mistral,3,1.0
MVO hépatique,s5_mistral,3,1.0
ALAT,s5_mistral,7,1.0
ASAT,s5_mistral,3,0.666667
anticorps,s5_mistral,4,1.0
neutralisants,s5_mistral,3,1.0
__MEAN__,s5_mistral,41,0.982046
