segment_id,ner_condition,system_id,issue_category,severity,source_span_fr,hypothesis_span_en,ref_span_en,wrong_terminology,concept_flattening_too_vague,missing_terms,unnatural_phrasing,notes,reviewer,resolved
48_116,ner_biollm_finetuned,s2,terminology_wrong,minor,La sécurité de pembrolizumab solution injectable chez les patients pédiatriques n&#39;a pas été établie dans les études cliniques.,The safety of pembrolizumab injection solution in pediatric patients has not been established in clinical studies.,"In patients treated with pembrolizumab in combination with chemotherapy, RT or CRT, the proportion of patients who experienced a shift from baseline to a Grade 3 or 4 laboratory abnormality was as follows:",1,0,0,0,"The hypothesis uses a different concept (safety establishment) than the reference (proportion of patients with laboratory abnormalities). This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_100,ner_biollm_finetuned,s4,terminology_wrong,minor,Enzymes hépatiques élevées,Liver enzymes elevated,Liver enzymes,1,0,0,0,The hypothesis uses 'elevated' instead of the more specific 'increased' to describe the change in liver enzymes. This is a substitution of a different medico-regulatory concept than the reference.,auto:ollama:llama3.2,0
48_095,ner_biollm,s5,terminology_wrong,minor,Aucun patient n'a présenté de MVO hépatique.,No patients had hepatic MVO.,The median duration was 1.9 months (range: 1 day to 47.1+ months).,1,0,1,0,The hypothesis uses a different concept (hepatic MVO vs. median duration) and omits clinically meaningful content (range and duration range).,auto:ollama:llama3.2,0
48_109,ner_finetuned,s4,terminology_wrong,minor,augmentation des paramètres biologiques,increase in lipase,increase in ALT,1,0,0,0,"The hypothesis uses 'lipase' instead of 'ALT' (ALT is mentioned in the reference), which is a different medico-regulatory concept.",auto:ollama:llama3.2,0
48_064,ner_biollm,s5,terminology_wrong,minor,Une insuffisance surrénaliène,A case of Addison,"Nephritis resolved in 25 patients, 5 with sequelae.",1,0,0,0,"The hypothesis uses a different concept (Addison vs. Nephritis) and a different preferred rendering. The reference uses the term Nephritis, while the hypothesis uses Addison, which is a different disorder.",auto:ollama:llama3.2,0
48_045,ner_baseline,s4,terminology_wrong,minor,"Pour les patients atteints de CBNPC, une pneumopathie inflammatoire est survenue chez 230 (6,1 %),","For patients with CBNA (Central Nervous System - Cranial Nerve Disorders - Cranial Nerve Palsies), 230 cases (6.1%) of inflammatory pneumopathy have occurred,","Pneumonitis resolved in 196 patients, 6 with sequelae.",1,0,0,0,"The hypothesis uses 'inflammatory pneumopathy' instead of 'pneumonitis', which is a different concept (Respiratory, thoracic and mediastinal disorders - Inflammatory disorders vs Pneumonitis).",auto:ollama:llama3.2,0
48_117,ner_biollm,s2,terminology_wrong,minor,La sécurité de pembrolizumab en monothérapie a été évaluée à la dose de 2 mg/kg de poids corporel toutes les 3 semaines,The safety of pembrolizumab monotherapy was evaluated in the Phase I/II KEYNOTE-051 study at a dose of 2 mg/kg body weight every 3 weeks,"In patients treated with pembrolizumab in combination with axitinib or lenvatinib, the proportion of patients who experienced a shift from baseline to a Grade 3 or 4 laboratory abnormality was as follows:",1,0,0,0,"The hypothesis uses 'monothérapie' instead of 'monotherapy', which is a different concept. The reference uses 'combination with axitinib or lenvatinib', which is a more specific and nuanced term.",auto:ollama:llama3.2,0
48_090,ner_biollm,s5,terminology_wrong,minor,"De rares cas de SSJ et de NET, dont certains d’issue fatale, ont été observés","Rare cases of SSJ and NET, including some fatal outbreaks, have been observed","In patients with resectable locally advanced HNSCC treated with pembrolizumab as neoadjuvant treatment and in combination with radiation therapy with or without concomitant cisplatin for adjuvant treatment (n=361), the incidence of hypothyroidism was 24.7%, all of which were Grade 1 or 2.",1,0,0,0,The hypothesis uses a different concept (SSJ vs HNSCC) and wording than the reference. The issue is justified by item 1 (wrong terminology).,auto:ollama:llama3.2,0
48_059,ner_biollm,s3,terminology_wrong,minor,néphrite,nephritis,Hepatitis,1,0,0,0,"The French term 'néphrite' translates to 'nephritis' in English, but the hypothesis uses 'nephritis' without the context of 'Hepatitis', which is mentioned in the reference. This is justified by item 1 (wrong terminology).",auto:ollama:llama3.2,0
48_032,ner_biollm,s5,terminology_wrong,minor,anémie hémolytique (anémie hémolytique auto-immune et anémie hémolytique à Coombs négatif),haemolytic anaemia,haemolytic anaemia (autoimmune haemolytic anaemia and Coombs negative haemolytic anaemia),1,0,0,0,The hypothesis uses 'haemolytic anaemia' instead of the more specific 'autoimmune haemolytic anaemia and Coombs negative haemolytic anaemia'. This is a wrong concept.,auto:ollama:llama3.2,0
48_065,ner_finetuned,s5,terminology_wrong,minor,"L'insuffisance surrénalienne s'est résolue chez 28 patients, 11 avec des séquelles.","Addison's disease resolved in 28 patients, 11 of whom had sequelae.","In patients with non-squamous NSCLC treated with pembrolizumab in combination with pemetrexed and platinum chemotherapy (n=488), the incidence of nephritis was 1.4% (all Grades) with 0.8% Grade 3 and 0.4% Grade 4.",1,0,0,0,"The hypothesis uses 'Addison's disease' instead of 'nephritis' (wrong_terminology), which has a different clinical meaning and specificity. The reference uses a more specific term, 'nephritis', which is not present in the hypothesis.",auto:ollama:llama3.2,0
48_092,ner_biollm_finetuned,s5,terminology_wrong,minor,"Deux patients ont présenté une MVO hépatique, dont une d’issue fatale.","Two patients had hepatic MVO, including a fatal outcome.","In patients with melanoma, NSCLC and RCC treated with pembrolizumab monotherapy in the adjuvant setting (n=2 060), the incidence of hypothyroidism was 18.5%, the majority of which were Grade 1 or 2.",1,0,0,0,The hypothesis uses a different medical concept (MVO vs hypothyroidism) and terminology (hépatique vs hypothyroidism) than the reference. The issue is justified by item 1 (wrong terminology).,auto:ollama:llama3.2,0
48_093,ner_biollm_finetuned,s1,terminology_wrong,minor,Un patient a présenté un syndrome de prise de greffe après transplantation.,One patient developed transplant syndrome after transplantation.,Immune-mediated skin adverse reactions,1,0,0,0,The hypothesis uses a different concept (transplant syndrome vs immune-mediated skin adverse reactions) and a less specific term (transplant syndrome vs Grade 2-5 cases).,auto:ollama:llama3.2,0
48_058,ner_biollm,s4,terminology_wrong,minor,"d'apparition médian de la néphrite a été de 4,2 mois (de 12 jours à 21,4 mois)",The median time to onset of nephritis was 4.2 months (12 days to 21.4 months) and the median duration was 3.3 months (6 days to 28.2+ months),Hepatitis led to discontinuation of pembrolizumab in 37 (0.5%) patients.,1,0,0,0,"The hypothesis uses 'nephritis' instead of 'Hepatitis', which is a different medico-regulatory concept. This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_051,ner_biollm,s3,terminology_wrong,minor,"La colite s'est résolue chez 132 patients, 2 avec des séquelles.","Colitis resolved in 132 patients, 2 with sequelae.",The median duration was 1.1 month (range: 1 day to 45.2 months).,1,0,0,0,"The hypothesis uses 'Colitis resolved' instead of 'Colitis resolved in', which is a different concept (MedDRA LLT L5). This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_053,ner_biollm_finetuned,s5,terminology_wrong,minor,Hépatite à médiation immunitaire,Immunomediated Hepatitis,Colitis resolved,1,0,0,0,"The hypothesis uses 'Immunomediated Hepatitis' instead of 'Hepatitis' (MedDRA LLT L5), which is a different medico-regulatory concept. This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_042,ner_biollm_finetuned,s5,terminology_wrong,minor,"La pneumopathie inflammatoire était plus fréquente chez les patients ayant des antécédents d’irradiation thoracique antérieure (8,1 %) que chez les patients n'ayant pas reçu d’irradiation thoracique préalable (3,9 %).",Inflammatory pneumopathies were more frequent in patients with a history of prior thoracic irradiation (8.1 %) compared to patients who had not received prior thoracic irradiation (3.9 %).,The median duration was 2.0 months (range: 1 day to 51.0+ months).,1,0,0,0,"The hypothesis uses 'pneumopathies' instead of 'pneumonitis', which is a different concept (item 1). The reference uses 'median duration' which is not present in the hypothesis (item 3).",auto:ollama:llama3.2,0
48_089,ner_biollm,s1,terminology_wrong,minor,"Les réactions cutanées sévères se sont résolues chez 95 patients, 2 avec des séquelles.","Severe skin reactions resolved in 95 patients, 2 with sequelae.","In patients with recurrent or metastatic HNSCC treated with pembrolizumab in combination with platinum and 5-FU chemotherapy (n=276), the incidence of hypothyroidism was 15.2%, all of which were Grade 1 or 2.",1,0,0,0,"The hypothesis uses 'severe skin reactions' instead of 'hypothyroidism', which is a different concept (item 1). The reference uses a more specific term, 'hypothyroidism', which is not present in the hypothesis (item 3).",auto:ollama:llama3.2,0
48_094,ner_biollm,s4,terminology_wrong,minor,"Parmi les 32 patients de KEYNOTE-087 ayant reçu une GCSH allogénique après un traitement par pembrolizumab, 16 patients ont développé une GVH aiguë et 7 patients ont développé une GVH chronique, dont deux d’issue fatale.","Among the 32 patients in KEYNOTE-087 who received allogeneic CSGT after treatment with pembrolizumab, 16 developed an acute GVH and 7 developed chronic GVH, with 2 fatal outcomes.",The median time to onset of severe skin reactions was 2.8 months (range: 2 days to 25.5 months).,1,0,0,0,"The hypothesis uses 'allogeneic CSGT' instead of 'allogeneic chimeric antigen receptor T-cell sulfatide-specific immunotherapy' (MedDRA LLT L5), which is a more specific term. This is justified by item 1 (wrong terminology).",auto:ollama:llama3.2,0
48_078,ner_biollm,s4,terminology_wrong,minor,"L'hypothyroïdie s'est résolue chez 216 (23,0 %) patients, 16 avec des séquelles.","Hypothyroidism was resolved in 216 (23.0 %) patients, 16 of whom had sequelae.",The median duration was 1.6 months (range: 4 days to 43.1+ months).,1,0,0,0,"The hypothesis uses 'resolved' instead of 'improved' or 'went away', which is a different concept than the reference. This is justified by item 1 in the ontology guide.",auto:ollama:llama3.2,0
48_121,ner_biollm,s5,terminology_wrong,minor,La majorité des effets indésirables rapportés en monothérapie étaient d’une sévérité de Grades 1 ou 2.,The majority of adverse reactions reported in monotherapy were of Grade 1 or 2 severity.,The pembrolizumab immunogenicity profile of subcutaneous pembrolizumab was consistent with the known immunogenicity profile of intravenous pembrolizumab.,1,0,0,0,The hypothesis uses a different concept (monotherapy vs subcutaneous pembrolizumab) and a broader term (monotherapy) than the reference. This is justified by item 1 (wrong_terminology).,auto:ollama:llama3.2,0
48_087,ner_finetuned,s5,terminology_wrong,minor,"La durée médiane a été de 1,9 mois (de 1 jour à 47,1+ mois)",The median duration was 1.9 months (1 day to 47.1+ months),"In patients with cHL (n=389) the incidence of hypothyroidism was 17%, all of which were Grade 1 or 2.",1,0,0,0,"The hypothesis uses '1 day to 47.1+ months' instead of 'from 1 day to 47.1+ months', which is a different wording tied to a different branch of the terminology (PT vs LLT).",auto:ollama:llama3.2,0
48_044,ner_biollm_finetuned,s5,terminology_wrong,minor,La pneumopathie inflammatoire s’est résolue,"The inflammatory pneumonitis resolved in 196 patients, with sequelae in 6.",Pneumonitis led to discontinuation of pembrolizumab in 131 (1.7%) patients.,1,0,0,0,The hypothesis uses a different concept (inflammatoire vs inflammatory) and preferred rendering (s’est résolue vs led to discontinuation).,auto:ollama:llama3.2,0
48_099,ner_biollm,s5,terminology_wrong,minor,Un patient a présenté un syndrome de prise de greffe après transplantation.,One patient developed transplant syndrome after transplantation.,Complications of allogeneic HSCT in cHL,1,0,0,0,"The hypothesis uses a more general term 'transplant syndrome' instead of the specific 'syndrome de prise de greffe' in the reference. This is justified by item 1, wrong_terminology, as the concept is different (different branch of terminology).",auto:ollama:llama3.2,0
48_071,ner_finetuned,s3,terminology_wrong,minor,"Le délai d’apparition médian de l’hyperthyroïdie a été de 1,4 mois (de 1 jour à 23,2 mois) et la durée médiane a été de 1,6 mois (de 4 jours à 43,1+ mois).",The median time to onset of hyperthyroidism was 1.4 months (1 day to 23.2 months) and the median duration was 1.6 months (4 days to 43.1+ months).,"Hypophysitis occurred in 52 (0.7%) patients, including Grade 2, 3 or 4 cases in 23 (0.3%), 24 (0.3%) and 1 (< 0.1%) patients, respectively, receiving pembrolizumab.",1,0,0,0,"The hypothesis uses 'hyperthyroidism' instead of 'hypophysitis', which is a different medico-regulatory concept. This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_075,ner_baseline,s3,terminology_wrong,minor,"Une hypothyroïdie est survenue chez 939 (12,3 %) patients recevant pembrolizumab, y compris des cas de Grade 2 ou 3 chez 687 (9,0 %) et 8 (0,1 %) patients, respectivement.","A hypothyroidism event occurred in 939 (12.3%) patients receiving pembrolizumab, including 687 (9.0%) with Grade 2 or 3, and 8 (0.1%) with Grade 4.","Hypophysitis resolved in 23 patients, 8 with sequelae.",1,0,0,0,"The hypothesis uses 'Grade 2 or 3' instead of 'Grade 2' and 'Grade 3' separately, which is a different concept than the reference. This is justified by item 1 (wrong terminology).",auto:ollama:llama3.2,0
48_113,ner_biollm,s4,terminology_wrong,minor,Le profil d’immunogénicité de pembrolizumab sous-cutané était cohérent avec le profil d’immunogénicité connu de pembrolizumab intraveineux.,The immunogenicity profile of subcutaneous pembrolizumab was consistent with that of intravenous pembrolizumab.,"Of these patients, 55% had no recurrence of ALT > 3 times ULN, and of those patients with recurrence of ALT > 3 times ULN, all recovered.",1,0,0,0,"The hypothesis uses 'immunogenicity profile' instead of 'hypothyroidism profile', which is a different concept. This is justified by item 1 in the ontology guide.",auto:ollama:llama3.2,0
48_101,ner_biollm,s2,terminology_wrong,minor,"La durée médiane d'apparition de l'augmentation des ALAT était de 2,3 mois (de 7 jours à 19,8 mois).",The median duration of ALT elevation was 2.3 months (7 days to 19.8 months).,One patient experienced engraftment syndrome post-transplant.,1,0,0,0,"The hypothesis uses a different concept (engraftment syndrome vs. ALT elevation) and broader wording than the reference. The issue is justified by item 1 (wrong terminology) and the lack of specificity in the hypothesis (item 3, missing terms).",auto:ollama:llama3.2,0
48_060,ner_finetuned,s4,terminology_wrong,minor,"La néphrite s'est résolue chez 25 patients, 5 avec des séquelles.","Nephritis resolved in 25 patients, 5 with sequelae.","Immune-mediated nephritis Nephritis occurred in 37 (0.5%) patients, including Grade 2, 3 or 4 cases in 11 (0.1%), 19 (0.2%) and 2 (< 0.1%) patients, respectively, receiving pembrolizumab as monotherapy.",1,0,0,0,The hypothesis uses a different concept (nephritis vs immune-mediated nephritis) and wording (resolved vs occurred) than the reference. The issue is justified by item 1 (wrong terminology).,auto:ollama:llama3.2,0
48_062,ner_finetuned,s5,terminology_wrong,minor,Endocrinopathies à médiation immunitaire,"Adrenal insufficiency occurred in 74 (1.0%) patients, including Grade 2, 3 and 4 cases in 34 (0.4%) and 31 (0.4%) and 4 (0.1%) patients receiving pembrolizumab, respectively.",The median duration was 3.3 months (range: 6 days to 28.2+ months).,1,0,0,0,"The hypothesis uses 'Adrenal insufficiency' instead of 'Endocrinopathies à médiation immunitaire', which is a more specific and clinically meaningful term. This is justified by item 1 (wrong terminology).",auto:ollama:llama3.2,0
48_073,ner_finetuned,s5,terminology_wrong,minor,"L'hyperthyroïdie s'est résolue chez 326 (82,7 %) patients, 11 avec des séquelles.","Hyperthyroidism resolved in 326 (82.7%) patients, 11 with sequelae.",The median duration was 3.6 months (range: 3 days to 48.1+ months).,1,0,0,0,"The hypothesis uses 'sequelae' instead of 'sequelles', which is a different grammatical form in French. This is justified by item 1 in the ontology guide, as the hypothesis uses English that corresponds to a different medico-regulatory concept than the reference.",auto:ollama:llama3.2,0
48_086,ner_biollm,s5,terminology_wrong,minor,"Le délai d'apparition médian des réactions cutanées sévères a été de 2,8 mois (de 2 jours à 25,5 mois).",The median time to onset of severe cutaneous reactions was 2.8 months (from 2 days to 25.5 months).,"Hypothyroidism resolved in 216 (23.0%) patients, 16 with sequelae.",1,0,0,0,"The hypothesis uses 'severe cutaneous reactions' instead of 'hypothyroidism' (wrong_terminology), and the time range is not specified as 'from 2 days to 25.5 months' (concept_flattening_too_vague).",auto:ollama:llama3.2,0
48_110,ner_finetuned,s1,terminology_wrong,minor,Immunogénicité,Immunogenicity,"In patients with ALT ≥ 3 times ULN (Grades 2-4, n=116), ALT resolved to Grades 0-1 in 94%.",1,0,0,0,"The hypothesis uses 'Immunogenicity' instead of 'Immunogénicité', which refers to a different concept (French terminology). This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_102,ner_finetuned,s1,terminology_wrong,minor,"ALAT ≥ 3 fois la LSN (Grades 2-4, n = 116)","In patients with ALT ≥ 3 times the LSN (Grades 2-4, n = 116), the increase in ALT was improved to Grades 0-1 in 94% of them.","Of 32 patients in KEYNOTE-087 who proceeded to allogeneic HSCT after treatment with pembrolizumab, 16 patients reported acute GVHD and 7 patients reported chronic GVHD, two of which were fatal.",1,0,0,0,"The hypothesis uses 'ALT ≥ 3 times the LSN' instead of 'ALT ≥ 3 times the LSN (Grades 2-4)', which is a more specific concept. This is justified by item 1 in the ontology guide, as the hypothesis uses English that corresponds to a different medico-regulatory concept than the reference.",auto:ollama:llama3.2,0
48_104,ner_biollm,s2,terminology_wrong,minor,reintroduction a été faite,reintroduction was made,No patients experienced engraftment syndrome post-transplant,1,0,0,0,"The hypothesis uses 'reintroduction was made' instead of 'engraftment syndrome post-transplant', which refers to a different concept (transplant-related complication vs general reintroduction). This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_122,ner_baseline,s2,terminology_wrong,minor,présentaient 1 ou plusieurs effets indésirables de Grades 3 à 5,Sixty-six (47.2%) patients presented one or more adverse reactions of Grades 3 to 5,The incidence of treatment-emergent anti-recombinant berahyaluronidase alfa antibodies was 1.5%,1,0,0,0,"The hypothesis uses 'adverse reactions' instead of 'treatment-emergent anti-recombinant berahyaluronidase alfa antibodies', which is a different concept (item 1).",auto:ollama:llama3.2,0
48_030,ner_biollm,s3,terminology_wrong,minor,§L'hypothyroïdie est un trouble endocrinien caractérisé par une insuffisance thyroïdienne.,Reported in an outside study (relating to subcutaneous injection).,§Reported in a study outside of the pooled dataset (subcutaneous injection related).,1,0,0,0,"The hypothesis uses a different MedDRA term (LLT L5: Hypothyroidism) than the reference, which uses a more specific term (Hypothyroidism). This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_126,ner_finetuned,s2,terminology_wrong,minor,Elle permet une surveillance continue du rapport bénéfice/risque du médicament.,It allows continuous monitoring of the benefit-risk ratio of the medicine.,The cHL population (n=22) included patients 11 to 17 years of age.,1,0,0,0,"The hypothesis uses a different concept (benefit-risk ratio vs age range) than the reference. The hypothesis spans 15.36, which indicates a lower overlap with the reference, suggesting a potential issue with terminology.",auto:ollama:llama3.2,0
48_072,ner_baseline,s5,terminology_wrong,minor,"Une hyperthyroïdie a conduit à un arrêt de pembrolizumab chez 4 (0,1 %) patients.",Hyperthyroidism led to discontinuation of pembrolizumab in 4 (0.1%) patients.,The median time to onset of hypophysitis was 5.9 months (range: 1 day to 17.7 months).,1,0,0,0,"The hypothesis uses 'Hyperthyroidism' instead of 'hypophysitis', which is a different concept (item 1). The reference uses a more specific term, indicating a substitution. No other issues were found.",auto:ollama:llama3.2,0
48_048,ner_biollm_finetuned,s4,terminology_wrong,minor,Immunomédiée,Immuno-mediated,Immuno-mediated colitis,1,0,0,0,"The translation uses 'Immunomédiée' instead of the more specific 'Immuno-mediated', which is a wrong concept. The hypothesis spans 'Immunomédiée, une colite s'est produite' and 'y compris des cas de Grades 2, 3 ou 4' which are not present in the reference, but the issue is primarily wrong terminology.",auto:ollama:llama3.2,0
